X,Y,D,e8:ba:70:61:07:00,e8:ba:70:c2:41:92,e8:ba:70:61:25:54,e8:ba:70:c2:4e:32,e8:ba:70:61:25:50,e8:ba:70:61:25:53,e8:ba:70:9c:c7:33,e8:ba:70:9c:c7:35,e8:ba:70:c2:44:15,58:35:d9:aa:d5:e3,e8:ba:70:c2:44:12,e8:ba:70:61:07:03,58:35:d9:aa:d5:e5,e8:ba:70:61:07:02,58:35:d9:aa:99:e0,e8:ba:70:c2:44:35,e8:ba:70:c2:44:14,e8:ba:70:c2:4e:33,30:f7:72:5c:ed:28,e8:ba:70:c2:44:13,e8:ba:70:61:07:01,dc:a5:f4:b8:73:82,58:35:d9:aa:d5:e0,e8:ba:70:c2:44:31,58:35:d9:aa:d5:e2,14:dd:a9:70:e7:40,e8:ba:70:c2:41:95,e8:ba:70:c2:41:91,e8:ba:70:c2:4e:34,e8:ba:70:92:aa:b3,e8:ba:70:c2:41:93,58:35:d9:aa:d5:e4,58:35:d9:aa:99:e1,e8:ba:70:9c:c7:31,e8:ba:70:c2:44:33,e8:ba:70:c2:44:10,dc:a5:f4:b8:73:85,00:19:5b:1f:fd:30,e8:ba:70:61:07:04,e8:ba:70:9c:c7:32,58:35:d9:aa:99:e3,e8:ba:70:61:25:55,e8:ba:70:61:07:05,e8:ba:70:c2:41:90,e8:ba:70:c2:4e:30,e8:ba:70:c2:4e:35,00:26:5a:41:4e:88,58:35:d9:aa:d5:e1,e8:ba:70:c2:41:94,e8:ba:70:61:25:52,dc:a5:f4:b8:73:81,e8:ba:70:c2:4e:31,e8:ba:70:61:25:51,58:35:d9:aa:99:e2,00:26:5a:41:4e:8a,e8:ba:70:c2:44:11,14:dd:a9:70:cc:60,dc:a5:f4:b8:73:80,e8:ba:70:9c:c7:30,e8:ba:70:c2:44:34,e8:ba:70:9c:c7:34,48:ee:0c:ee:27:e4,e8:ba:70:c2:44:32,dc:a5:f4:b8:73:83,dc:a5:f4:b8:73:84,58:35:d9:aa:99:e4
12,3,3,0,-69,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,-58,0,0,0,-55,-70,-72,-68,0,0,0,0,0,0,0,-57,0,0,0,0,0,0,-70,-68,-69,-75,0,-69,0,-57,-69,0,0,0,0,-82,-58,0,0,0,0,0,-67,-58,0
12,3,3,0,-66,0,-68,0,0,0,0,0,0,0,0,0,0,0,-67,0,-68,-80,0,0,-59,0,-68,0,-54,-67,-67,-68,0,-67,0,0,0,-68,0,-58,-86,0,0,0,0,0,-66,-70,-68,-75,0,-66,0,-57,-68,0,0,0,0,-82,-60,0,-68,0,0,-68,-56,-59,0
11,3,0,0,-66,0,-68,0,0,0,0,0,0,0,0,0,0,0,-67,0,-68,-80,0,0,-56,0,-68,0,-65,-67,-67,-68,0,-67,0,0,0,-68,0,-56,-86,0,0,0,0,0,-66,-70,-70,-75,0,-66,0,-56,-68,0,0,0,0,0,-56,0,-68,0,-74,-68,-70,-56,0
11,3,1,-70,-66,0,-68,0,0,0,0,0,0,0,0,0,0,0,-67,0,-68,-80,0,-71,-62,0,-68,0,-55,-66,-66,-69,0,-66,0,0,0,-68,0,-56,-86,0,0,0,0,0,-66,-69,-69,-74,0,-66,0,-63,-68,0,0,0,0,0,-56,0,-68,0,-76,-68,-57,-56,0
11,3,2,-70,-67,0,0,0,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,-71,-70,0,0,0,-51,-66,-66,-70,0,-66,0,0,0,0,0,-69,0,-70,0,0,0,0,-67,-69,-69,-75,0,-66,0,-71,-68,0,0,0,0,-79,-70,0,0,0,-73,0,-61,-69,0
11,3,3,-70,-63,0,0,0,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,-71,-58,0,0,0,-63,-63,-62,-70,0,-63,0,0,0,0,0,-58,0,-70,0,0,0,0,-63,-69,-69,-82,0,-62,0,-59,-68,0,0,0,0,-79,-58,0,0,0,-73,0,-70,-58,0
10,3,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,-69,-58,0,0,0,-66,-63,-62,-70,0,-63,0,0,0,0,0,-58,0,-70,0,0,0,0,-63,-69,0,-71,0,-62,0,-55,0,0,0,0,0,-79,-58,0,0,0,-71,0,-56,-58,0
10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,-64,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,-64,0,0,0,0,0,0,0,-69,0,-67,0,0,0,-61,0,0,0,0,0,0,-64,0,0,0,-76,0,-55,-64,0
10,3,2,0,0,0,0,0,0,0,0,0,0,0,-63,0,-64,0,0,0,0,0,0,-64,-64,0,0,0,-65,0,0,0,0,0,0,0,0,0,0,-64,0,0,0,0,0,0,0,-69,-71,-68,0,0,0,-63,0,0,0,0,0,0,-64,0,0,0,-75,0,-64,-64,0
10,3,3,0,0,0,-70,0,0,0,0,0,0,0,-63,0,-64,0,0,0,-71,0,0,-64,-60,0,0,0,-58,0,0,-70,0,0,0,0,0,0,0,-60,0,0,0,0,0,0,0,-70,-70,-72,0,0,0,-61,0,0,0,0,0,0,-61,0,0,0,-75,0,-65,-61,0
10,3,3,-67,0,0,-66,0,0,0,0,0,0,0,-66,0,-66,0,0,0,-67,0,0,-65,-60,0,0,0,-62,0,0,-66,0,0,0,0,0,0,0,-61,0,-67,0,0,0,-67,0,-66,-66,-65,0,0,0,-61,-66,0,0,0,0,0,-61,0,0,0,-75,0,-65,-61,0
10,4,0,-67,0,0,-55,0,0,0,0,0,0,0,-66,0,-66,0,0,0,-56,0,0,-65,-60,0,0,0,-60,0,0,-56,0,0,0,0,0,0,0,-58,0,-67,0,0,0,-67,0,-56,-56,-74,0,0,0,-61,-55,0,0,0,0,0,-61,0,0,0,-75,0,-65,-61,0
10,4,1,0,-66,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,0,0,-60,0,0,0,-58,0,0,-64,0,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,-64,-64,-70,0,0,0,-63,-63,0,0,0,0,-78,-62,0,0,0,-75,0,-61,-62,0
10,4,2,-64,-68,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,-59,0,0,0,-68,0,0,0,-54,-69,-69,-59,0,-69,0,0,0,0,0,-68,0,0,0,0,0,0,-69,-59,-59,-65,0,-69,0,-63,-59,0,0,0,0,-77,-69,0,0,0,-68,0,-59,-62,0
10,4,3,-64,-64,0,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,-61,0,0,0,-59,0,0,0,-54,-63,-64,-59,0,-63,0,0,0,0,0,-59,0,0,0,0,0,0,-69,-61,-61,-65,0,-63,0,-58,-62,0,0,0,0,-80,-59,0,0,0,-72,0,-63,-58,0
11,4,0,-65,-66,0,-66,0,0,0,0,0,0,0,-65,0,-65,0,0,0,-67,0,0,-65,-59,0,0,0,-64,-65,-66,-67,0,-66,0,0,0,0,0,-58,0,-65,0,0,0,-65,-65,-67,-66,-68,0,-66,0,-58,-67,0,0,0,0,-80,-59,0,0,0,-75,0,-63,-58,0
11,4,1,-65,-59,0,-64,0,0,0,0,0,0,0,-65,0,-65,0,0,0,-64,-82,0,-65,-63,0,-69,0,-52,-59,-59,-64,0,-59,0,0,0,0,0,-61,0,-65,0,0,0,-65,-59,-64,-64,-68,0,-59,0,-62,-64,0,0,0,0,-76,-61,0,0,0,-75,0,-58,-62,0
11,4,2,-65,-67,0,-62,0,0,0,0,0,0,0,-65,0,-65,0,0,0,-62,-82,0,-65,-69,0,-69,0,-48,-59,-59,-62,0,-67,0,0,0,0,0,-72,0,-64,0,0,0,-65,-59,-62,-62,-72,0,-59,0,-69,-62,0,0,0,0,-76,-68,0,0,0,-75,0,-58,-68,0
11,4,3,-65,-67,0,-58,0,0,0,0,0,0,0,-65,0,-65,0,0,0,-58,-82,0,-65,-61,0,-69,0,-57,-65,-59,-58,0,-67,0,0,0,0,0,-60,0,-64,0,0,0,-65,-59,-58,-58,-71,0,-59,0,-69,-58,0,0,0,0,-76,-58,0,0,0,-75,0,-59,-58,0
12,4,0,-65,-67,0,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,-82,0,0,-49,0,-69,-79,-59,-65,-59,-58,0,-67,0,0,0,0,0,-60,0,-64,0,0,0,0,-59,-58,-58,-74,0,-59,0,-69,-58,0,0,0,0,-76,-49,0,0,0,0,0,-59,-49,0
12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60,0,0,-79,-51,0,0,0,0,0,0,0,0,-73,0,-63,0,0,0,0,0,0,0,0,0,-67,0,0,0,-63,0,-71,0,0,0,-76,-60,0,0,0,-84,0,-54,-60,0
12,4,2,-69,0,0,-60,0,0,0,0,0,0,0,0,0,-69,0,0,0,-60,0,0,0,-60,0,0,-79,-50,0,0,-59,0,0,0,0,0,-73,0,-63,0,0,0,0,0,0,0,-59,-60,-66,0,0,0,-63,-60,-71,0,0,0,-75,-69,0,0,0,-80,0,-51,-60,0
12,4,3,-69,0,0,-60,0,0,0,0,0,0,0,0,0,-69,0,0,0,-60,0,0,0,-53,0,0,-79,-55,0,0,-59,0,0,0,0,0,-73,0,-54,0,0,0,0,0,0,0,-59,-60,-66,0,0,0,-54,-60,-71,0,0,0,-80,-55,0,0,0,-80,0,-63,-53,0
12,4,3,-69,0,0,-60,0,0,0,0,0,0,0,0,0,-69,0,0,0,-60,-75,0,0,-53,0,0,0,-52,0,0,-59,0,0,0,0,0,-73,0,-54,0,0,0,0,0,0,0,-59,-60,-78,0,0,0,-54,-60,-71,0,0,0,-80,-55,0,0,0,-80,0,-63,-53,0
9,5,0,0,-70,0,0,0,0,-70,0,0,0,0,-70,0,0,0,0,0,0,-75,0,0,-72,0,0,0,-61,-70,-70,0,0,-70,0,0,0,0,0,-72,0,0,0,0,0,0,-70,0,0,-68,0,-70,0,-73,0,0,0,0,0,0,-73,0,0,0,-66,0,-72,-73,0
9,5,1,0,-67,0,-71,0,0,-70,0,0,0,0,-70,0,0,0,0,0,-71,-78,0,0,-74,0,0,0,-53,-67,-67,-71,0,-67,0,0,0,0,0,-73,0,0,0,0,-68,0,-68,0,-72,-75,0,-67,0,-73,-72,0,0,0,0,0,-73,0,0,0,-66,0,-74,-73,0
9,5,2,0,-67,0,-71,0,0,-70,0,0,0,0,-70,0,0,0,0,0,-71,-78,0,0,-75,0,0,0,-49,-67,-67,-71,0,-67,0,0,0,0,0,-73,0,0,0,0,-68,0,-68,0,-72,-70,0,-67,0,-76,-72,0,0,0,0,0,-73,0,0,0,-66,0,-74,-73,0
9,5,3,-65,-64,0,-63,0,0,0,0,0,0,0,-70,0,-65,0,0,0,-63,-77,0,-66,-75,0,0,0,-58,-64,-64,-63,0,-64,0,0,0,0,0,-73,0,-66,0,0,-68,-65,-64,-62,-64,-70,0,-64,0,-76,-64,0,0,0,0,0,-73,0,0,0,-77,0,-75,-73,0
