X,Y,D,e8:ba:70:c2:4e:32,e8:ba:70:9c:c7:33,e8:ba:70:61:07:03,e8:ba:70:c2:4e:33,30:f7:72:5c:ed:28,dc:a5:f4:b8:73:82,14:dd:a9:70:e7:40,e8:ba:70:c2:4e:34,dc:a5:f4:b8:73:85,58:35:d9:aa:99:e3,e8:ba:70:c2:4e:30,e8:ba:70:c2:4e:35,dc:a5:f4:b8:73:81,e8:ba:70:c2:4e:31,14:dd:a9:70:cc:60,dc:a5:f4:b8:73:80,48:ee:0c:ee:27:e4,dc:a5:f4:b8:73:83,dc:a5:f4:b8:73:84
9,10,2,0,0,0,0,-71,0,-69,0,0,0,0,0,-78,0,-79,-83,0,0,0
9,10,3,0,0,0,0,-72,0,-69,0,-76,0,0,0,-78,0,-79,-74,0,0,0
10,10,0,-70,0,0,0,0,-71,-69,0,-65,0,0,-71,-71,0,-79,-72,0,-65,-68
10,10,1,0,0,0,0,-72,-62,-62,0,-76,0,0,0,-62,0,-79,-74,0,0,-63
10,10,2,-70,0,0,0,0,-71,-69,0,-65,0,0,-71,-71,0,-79,-72,0,-65,-68
10,10,3,-70,0,0,0,0,-65,-68,0,-63,0,0,-71,-66,0,0,-66,-84,-64,-73
11,10,0,-70,0,0,0,-78,-65,-73,0,-70,0,0,-71,-66,0,0,-70,-84,-64,-73
11,10,1,-76,0,0,0,-78,-73,-72,0,-72,0,0,0,-74,0,-82,-76,-89,-75,-74
11,10,2,-76,0,0,0,-75,-75,-72,0,-72,0,0,0,-75,0,-82,-76,-89,-75,-74
11,10,3,-76,0,0,0,-75,-67,-70,0,-71,0,0,0,-67,0,-84,-68,-89,-71,-67
12,10,1,0,0,0,0,0,-67,-78,0,-71,0,0,0,-66,0,-79,-78,0,-64,-80
12,10,2,0,-66,0,0,0,0,-70,0,0,0,0,0,-83,0,-79,-78,0,-64,-80
12,10,3,0,-66,0,0,0,0,-72,0,0,0,0,0,-83,0,-79,-78,0,-64,-79
12,10,3,0,-66,0,0,0,0,-76,0,0,0,0,0,-83,0,-79,-73,0,-64,-79
12,10,0,0,-66,0,0,0,0,-72,0,0,0,0,0,-76,0,-79,-73,0,-64,-79
13,10,1,0,-68,0,0,0,0,-73,0,0,0,0,0,-76,0,0,-82,0,-64,-79
13,10,2,0,-68,0,0,0,0,-73,0,-80,0,0,0,0,0,0,-82,0,-64,0
13,10,3,0,-60,0,0,0,0,-76,0,-80,0,0,0,0,0,0,-82,0,-64,0
13,10,0,0,-66,0,0,0,-73,-76,0,-74,0,0,0,-73,0,0,-73,0,-83,-73
